EAR,mouth_ratio,head_tilt,eye_closure_time,no_movement_time,label
0.087,0.443,27.0,10.25,12.56,unconscious
0.279,0.322,4.5,0.12,0.11,alert
0.343,0.191,8.7,0.0,0.54,alert
0.229,0.603,10.5,3.34,5.36,drowsy
0.122,0.5,13.9,3.85,3.86,drowsy
0.323,0.154,3.9,0.03,0.35,alert
0.304,0.276,8.1,0.29,0.44,alert
0.213,0.422,5.5,0.35,0.26,alert
0.09,0.678,5.4,0.0,3.07,drowsy
0.281,0.302,5.9,0.0,0.87,alert
0.152,0.406,28.9,5.27,12.43,unconscious
0.173,0.71,3.9,1.23,5.41,drowsy
0.121,0.679,9.5,2.49,2.24,drowsy
0.211,0.804,11.9,1.51,2.83,drowsy
0.22,0.898,15.5,1.85,4.05,drowsy
0.121,0.248,19.9,6.49,8.0,unconscious
0.094,0.96,18.3,4.56,4.53,drowsy
0.197,0.886,10.4,2.7,3.56,drowsy
0.176,0.285,24.3,4.83,7.76,unconscious
0.095,0.594,18.4,5.97,5.39,unconscious
0.274,0.448,26.1,2.26,3.48,drowsy
0.241,0.05,1.7,0.02,0.51,alert
0.258,0.478,7.5,0.35,1.77,alert
0.155,0.818,10.0,2.05,2.12,drowsy
0.161,0.445,32.4,0.97,7.45,unconscious
0.149,0.236,18.8,3.55,11.67,unconscious
0.365,0.101,0.6,0.39,0.6,alert
0.312,0.411,12.2,0.05,0.2,alert
0.225,0.517,9.6,1.26,1.35,drowsy
0.133,0.794,14.2,2.15,5.75,drowsy
0.262,0.516,22.3,2.94,1.27,drowsy
0.083,0.373,38.9,8.25,17.42,unconscious
0.335,0.686,15.7,2.92,3.28,drowsy
0.253,0.236,5.1,0.0,0.54,alert
0.261,0.395,1.5,0.0,0.17,alert
0.269,0.362,3.2,0.0,0.36,alert
0.254,0.223,1.0,0.0,1.6,alert
0.178,0.395,44.0,7.45,7.2,unconscious
0.15,0.164,20.6,6.24,5.27,unconscious
0.331,0.517,2.2,0.0,0.0,alert
0.1,0.888,21.6,3.3,6.0,unconscious
0.258,0.288,2.3,0.0,0.36,alert
0.192,0.735,26.6,3.14,8.98,unconscious
0.275,0.28,6.8,1.06,0.95,alert
0.164,0.503,29.1,6.04,3.44,unconscious
0.144,0.334,24.2,1.43,4.42,unconscious
0.264,0.592,9.7,3.61,3.15,drowsy
0.106,0.262,23.7,4.54,6.24,unconscious
0.418,0.185,33.7,4.28,7.08,unconscious
0.141,0.633,9.8,2.94,0.0,drowsy
0.285,0.424,4.8,0.39,0.96,alert
0.268,0.257,8.6,0.37,0.0,alert
0.139,0.217,14.4,4.8,9.71,unconscious
0.2,0.794,13.8,0.97,2.3,drowsy
0.101,0.245,21.8,7.04,8.14,unconscious
0.135,0.701,15.4,2.93,2.39,drowsy
0.13,0.872,33.9,7.2,3.89,alert
0.123,0.456,20.2,4.52,9.67,unconscious
0.266,0.359,1.9,0.36,0.46,alert
0.317,0.383,9.5,0.29,0.61,alert
0.242,0.715,5.7,0.71,0.42,drowsy
0.211,0.84,13.6,0.34,3.55,drowsy
0.126,0.492,35.2,3.95,4.17,unconscious
0.216,0.731,9.7,0.25,3.75,drowsy
0.203,0.753,13.0,0.6,0.68,drowsy
0.266,0.599,17.1,1.48,1.22,drowsy
0.145,0.615,31.5,3.05,5.67,unconscious
0.096,0.371,24.4,8.07,8.92,unconscious
0.311,0.302,9.5,0.34,0.0,alert
0.101,0.406,31.1,4.65,8.87,unconscious
0.246,0.618,9.6,1.11,2.43,drowsy
0.257,0.31,3.8,0.0,0.0,alert
0.134,0.717,6.9,0.72,2.68,drowsy
0.19,0.641,14.9,1.36,1.84,drowsy
0.251,0.163,7.1,0.4,0.03,alert
0.244,0.88,18.7,1.47,3.91,drowsy
0.134,0.544,14.3,2.03,0.98,drowsy
0.115,0.779,5.8,1.0,2.08,drowsy
0.251,0.598,15.4,1.81,5.07,drowsy
0.268,0.785,16.0,1.98,2.08,drowsy
0.292,0.342,9.4,0.0,0.88,alert
0.117,0.349,17.4,5.13,13.98,unconscious
0.319,0.297,11.7,0.0,1.18,alert
0.116,0.319,35.4,6.19,8.64,unconscious
0.278,0.55,12.0,1.98,3.1,drowsy
0.132,0.0,33.4,2.39,6.44,unconscious
0.334,0.233,9.2,0.21,0.89,alert
0.219,0.208,5.8,0.1,0.25,alert
0.204,0.66,14.9,2.43,2.63,drowsy
0.203,0.524,19.2,2.83,4.72,drowsy
0.313,0.272,11.3,0.0,0.75,alert
0.258,0.329,8.5,0.0,0.57,alert
0.285,0.21,14.3,0.52,0.0,alert
0.184,0.716,17.3,1.65,2.95,drowsy
0.29,0.1,1.8,0.38,0.21,alert
0.162,0.256,47.7,1.1,7.55,unconscious
0.23,0.418,18.8,2.43,3.4,drowsy
0.298,0.314,1.7,0.61,0.45,alert
0.214,0.541,13.8,2.21,3.63,drowsy
0.204,0.661,15.4,1.84,4.82,drowsy
0.095,0.348,26.8,5.18,3.48,unconscious
0.121,0.131,28.5,5.97,9.69,unconscious
0.128,0.487,10.0,6.05,7.37,unconscious
0.275,0.428,7.1,0.43,0.13,alert
0.299,0.257,6.4,0.56,0.49,alert
0.434,0.475,5.0,0.34,0.0,alert
0.215,0.674,19.1,4.27,4.21,unconscious
0.278,0.399,0.8,0.26,0.48,alert
0.257,0.233,3.5,0.15,1.67,alert
0.133,0.767,37.8,6.45,7.16,unconscious
0.218,0.48,12.7,1.5,2.65,drowsy
0.205,0.426,11.7,0.72,0.47,drowsy
0.178,0.425,31.1,5.9,7.46,unconscious
0.181,0.292,17.7,6.22,0.82,unconscious
0.307,0.521,8.0,0.19,0.5,alert
0.151,0.508,31.2,2.12,3.72,drowsy
0.283,0.351,1.0,0.04,0.0,alert
0.209,0.829,16.5,3.39,2.63,drowsy
0.262,0.4,10.0,0.33,0.44,alert
0.228,0.448,26.3,0.03,2.52,drowsy
0.368,0.185,6.6,0.42,0.0,alert
0.14,0.497,35.4,5.28,5.5,unconscious
0.307,0.193,7.5,0.18,0.0,alert
0.188,0.272,23.4,4.9,10.61,unconscious
0.205,0.481,14.2,1.7,4.81,drowsy
0.221,0.825,22.6,2.43,3.59,drowsy
0.206,0.111,29.0,2.58,3.85,unconscious
0.077,0.637,17.9,6.39,5.76,unconscious
0.167,0.606,25.9,3.24,5.13,unconscious
0.101,0.444,31.3,7.42,12.12,unconscious
0.211,0.579,45.2,3.06,4.12,unconscious
0.265,0.32,0.4,0.28,0.02,alert
0.33,0.276,2.9,0.51,0.83,alert
0.274,0.45,7.5,0.24,0.31,alert
0.292,0.271,9.2,0.0,0.56,alert
0.261,0.672,10.0,2.09,4.9,drowsy
0.073,0.611,16.1,0.0,3.87,drowsy
0.175,0.705,23.4,1.22,1.16,drowsy
0.065,0.33,21.5,4.68,6.23,unconscious
0.119,0.179,33.3,7.82,11.51,unconscious
0.086,0.462,28.2,5.65,1.32,unconscious
0.242,0.359,4.3,0.0,0.55,alert
0.123,0.068,16.9,3.14,8.16,unconscious
0.179,0.601,13.5,1.95,0.87,drowsy
0.144,0.581,24.9,4.41,13.83,unconscious
0.319,0.296,5.9,0.43,1.21,alert
0.287,0.238,7.0,0.36,0.31,alert
0.143,0.535,15.9,2.47,1.8,drowsy
0.271,0.387,16.0,1.12,4.17,drowsy
0.187,1.0,17.3,0.0,2.35,drowsy
0.262,0.318,1.0,0.0,1.01,alert
0.215,0.979,10.0,1.63,0.19,drowsy
0.165,0.422,17.6,5.26,4.35,unconscious
0.174,0.43,10.6,0.86,1.67,drowsy
0.241,0.363,1.7,0.33,0.67,alert
0.241,0.235,3.6,0.58,0.38,alert
0.089,0.29,19.6,3.93,5.91,unconscious
0.172,0.281,3.9,0.28,0.0,alert
0.169,0.553,24.2,4.43,7.44,unconscious
0.238,0.87,11.6,6.46,1.14,drowsy
0.176,0.695,7.8,1.93,3.2,drowsy
0.153,0.448,29.3,5.43,12.85,unconscious
0.202,0.627,11.4,2.52,1.5,drowsy
0.202,0.713,13.9,0.82,1.32,drowsy
0.158,0.605,4.3,1.4,2.52,drowsy
0.124,0.453,37.1,7.69,0.81,unconscious
0.244,0.541,18.4,2.78,1.2,drowsy
0.164,0.582,7.5,1.5,5.09,drowsy
0.238,0.912,10.5,2.32,3.89,drowsy
0.199,0.467,8.0,1.2,2.39,drowsy
0.226,0.406,14.0,1.15,5.57,drowsy
0.153,0.624,9.9,2.4,7.09,alert
0.27,0.672,6.1,1.37,3.31,drowsy
0.296,0.728,15.1,1.77,2.65,drowsy
0.253,0.006,4.8,0.0,0.46,alert
0.132,0.357,14.1,7.42,10.63,unconscious
0.103,0.527,19.8,4.9,6.35,unconscious
0.338,0.309,4.2,0.31,0.38,alert
0.14,0.9,15.0,2.38,3.49,drowsy
0.319,0.263,5.6,0.08,0.38,alert
0.107,0.368,28.6,3.27,12.26,unconscious
0.102,0.368,26.2,7.01,7.51,unconscious
0.24,0.352,7.0,0.52,0.0,alert
0.252,0.716,10.8,1.92,1.92,drowsy
0.249,0.212,8.7,0.24,0.61,alert
0.204,0.8,9.4,2.34,4.86,drowsy
0.152,0.595,25.2,0.54,9.79,unconscious
0.247,0.448,1.0,0.04,0.47,alert
0.341,0.823,13.7,6.12,6.38,drowsy
0.263,0.01,2.3,0.46,0.11,alert
0.126,0.264,20.6,1.99,6.05,unconscious
