[01:21:26] DROWSY | Score: 4.19
[01:21:41] DROWSY | Score: 2.70
[01:21:57] DROWSY | Score: 5.98
[01:22:05] DROWSY | Score: 6.43
[01:22:15] DROWSY | Score: 6.06
[01:22:18] UNCONSCIOUS | Score: 5.87
[01:22:30] DROWSY | Score: 5.65
[01:22:33] UNCONSCIOUS | Score: 5.78
[01:34:30] STATE: DROWSY | Score: 14.9 | Conf: 58.0% | Movement: HIGH
[01:35:00] STATE: DROWSY | Score: 1.4 | Conf: 68.0% | Movement: LOW
[01:35:30] STATE: DROWSY | Score: 19.3 | Conf: 58.0% | Movement: HIGH
[01:35:35] STATE: UNCONSCIOUS | Score: 17.6 | Conf: 100.0% | Movement: LOW
[01:35:52] STATE: DROWSY | Score: 11.4 | Conf: 58.0% | Movement: HIGH
[01:42:33] STATE: DROWSY | Score: 6.4 | Conf: 89.0% | Movement: HIGH
[01:42:41] STATE: DROWSY | Score: 6.2 | Conf: 89.0% | Movement: HIGH
[01:42:58] STATE: DROWSY | Score: 8.1 | Conf: 89.0% | Movement: HIGH
[01:43:05] STATE: DROWSY | Score: 6.2 | Conf: 89.0% | Movement: HIGH
[01:43:13] STATE: DROWSY | Score: 6.2 | Conf: 89.0% | Movement: HIGH
[01:43:26] STATE: DROWSY | Score: 1.2 | Conf: 53.0% | Movement: HIGH
[13:55:24] STATE: DROWSY | Score: 1.2 | Conf: 53.0% | Movement: LOW
[13:55:41] STATE: DROWSY | Score: 2.5 | Conf: 68.0% | Movement: LOW
[13:55:50] STATE: DROWSY | Score: 2.3 | Conf: 68.0% | Movement: LOW
[13:56:04] STATE: DROWSY | Score: 8.1 | Conf: 66.0% | Movement: HIGH
[13:56:09] STATE: UNCONSCIOUS | Score: 33.9 | Conf: 100.0% | Movement: LOW
[13:56:31] STATE: UNCONSCIOUS | Score: 21.1 | Conf: 100.0% | Movement: LOW
[13:56:58] STATE: DROWSY | Score: 1.5 | Conf: 53.0% | Movement: LOW
[13:57:08] STATE: DROWSY | Score: 7.0 | Conf: 89.0% | Movement: HIGH
[13:57:14] STATE: DROWSY | Score: 5.6 | Conf: 53.0% | Movement: LOW
[14:01:13] STATE: DROWSY | Score: 6.4 | Conf: 69.0% | Movement: LOW
[14:01:20] STATE: DROWSY | Score: 3.8 | Conf: 53.0% | Movement: LOW
[14:01:33] STATE: UNCONSCIOUS | Score: 42.3 | Conf: 100.0% | Movement: LOW
[14:05:51] STATE: DROWSY | Score: 6.7 | Conf: 89.0% | Movement: HIGH
[14:05:57] STATE: DROWSY | Score: 6.2 | Conf: 89.0% | Movement: LOW
[14:06:07] STATE: DROWSY | Score: 7.3 | Conf: 89.0% | Movement: MEDIUM
[14:06:14] STATE: UNCONSCIOUS | Score: 11.3 | Conf: 100.0% | Movement: LOW
[14:06:30] STATE: DROWSY | Score: 6.5 | Conf: 66.0% | Movement: HIGH
[14:06:45] STATE: DROWSY | Score: 1.4 | Conf: 53.0% | Movement: LOW
[14:06:57] STATE: DROWSY | Score: 6.9 | Conf: 66.0% | Movement: HIGH
[14:07:03] STATE: UNCONSCIOUS | Score: 33.2 | Conf: 100.0% | Movement: LOW
[14:07:20] STATE: DROWSY | Score: 8.3 | Conf: 66.0% | Movement: HIGH
[14:07:27] STATE: DROWSY | Score: 10.2 | Conf: 66.0% | Movement: HIGH
[14:07:34] STATE: DROWSY | Score: 6.8 | Conf: 66.0% | Movement: HIGH
[14:07:39] STATE: DROWSY | Score: 6.3 | Conf: 89.0% | Movement: HIGH
[14:07:49] STATE: DROWSY | Score: 9.4 | Conf: 89.0% | Movement: HIGH
[14:10:11] STATE: DROWSY | Score: 9.9 | Conf: 89.0% | Movement: HIGH
[14:10:18] STATE: DROWSY | Score: 7.2 | Conf: 89.0% | Movement: HIGH
[14:10:37] STATE: DROWSY | Score: 6.5 | Conf: 89.0% | Movement: HIGH
[14:10:51] STATE: DROWSY | Score: 7.0 | Conf: 66.0% | Movement: HIGH
[14:22:40] STATE: DROWSY | Score: 7.2 | Conf: 89.0% | Movement: HIGH
[14:23:02] STATE: DROWSY | Score: 1.4 | Conf: 68.0% | Movement: LOW
[14:23:26] STATE: DROWSY | Score: 6.2 | Conf: 77.0% | Movement: HIGH
[14:23:47] STATE: DROWSY | Score: 3.1 | Conf: 68.0% | Movement: LOW
[14:34:16] STATE: DROWSY | Score: 6.2 | Conf: 94.0% | Movement: LOW
[14:34:23] STATE: DROWSY | Score: 8.0 | Conf: 59.0% | Movement: HIGH
[14:34:44] STATE: DROWSY | Score: 2.9 | Conf: 61.0% | Movement: LOW
[14:34:54] STATE: UNCONSCIOUS | Score: 42.4 | Conf: 100.0% | Movement: LOW
[14:43:11] STATE: DROWSY | Score: 2.0 | Conf: 61.0% | Movement: LOW
[14:43:23] STATE: DROWSY | Score: 2.1 | Conf: 61.0% | Movement: LOW
[14:43:30] STATE: UNCONSCIOUS | Score: 5.2 | Conf: 51.0% | Movement: LOW
[14:43:36] STATE: DROWSY | Score: 6.9 | Conf: 96.0% | Movement: HIGH
[14:43:43] STATE: DROWSY | Score: 6.2 | Conf: 63.0% | Movement: HIGH
[14:43:49] STATE: DROWSY | Score: 6.8 | Conf: 63.0% | Movement: HIGH
[14:43:59] STATE: DROWSY | Score: 2.6 | Conf: 65.0% | Movement: LOW
[14:44:05] STATE: UNCONSCIOUS | Score: 1.3 | Conf: 63.0% | Movement: LOW
[14:57:18] STATE: DROWSY | Score: 2.6 | Conf: 53.0% | Movement: LOW
[14:57:42] STATE: DROWSY | Score: 7.7 | Conf: 90.0% | Movement: HIGH
[14:57:55] STATE: DROWSY | Score: 7.2 | Conf: 60.0% | Movement: LOW
[16:08:23] STATE: DROWSY | Score: 4.9 | Conf: 61.6% | Movement: LOW
[16:08:46] STATE: DROWSY | Score: 3.1 | Conf: 56.9% | Movement: LOW
[16:12:18] STATE: DROWSY | Score: 2.8 | Conf: 75.7% | Movement: LOW
[16:12:30] STATE: DROWSY | Score: 1.2 | Conf: 60.6% | Movement: LOW
[16:15:41] STATE: DROWSY | Score: 7.4 | Conf: 64.1% | Movement: HIGH
[16:15:49] STATE: DROWSY | Score: 7.2 | Conf: 65.0% | Movement: MEDIUM
[16:16:12] STATE: DROWSY | Score: 3.6 | Conf: 48.9% | Movement: LOW
